Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,CaseFatality_Ratio
Louisiana,31.092427383437492,-91.82418665609377,160283,5342,0,154941.0,3733.9031317983195,4.510090882284929
Maine,44.68768840625,-69.523768628125,5034,139,0,4895.0,225.15414690457158,3.362910612539997
Maryland,39.014920690416666,-76.67546760874998,119744,3876,0,115868.0,1498.3643167182465,3.1866707333614683
Massachusetts,42.17639998153847,-71.57704993461539,127181,9295,0,117886.0,1429.4307498409673,7.750352638518131
Michigan,44.04362008975902,-85.18169553542172,128087,6969,0,121118.0,685.1587301762429,2.8542143237500217
Minnesota,45.55201297954022,-94.43095302689653,88721,2015,0,86706.0,1261.0905289692173,1.6492882859752802
Mississippi,32.792726566585365,-89.64572580048781,93087,2809,0,90278.0,3625.542447800062,3.3172428746402827
Missouri,38.456764881637945,-92.4994868846552,112864,1825,0,111039.0,1432.3361520297208,1.020562550782283
Montana,46.97469113196428,-109.70039488214286,10163,156,0,10007.0,874.9081308536685,1.0413011700810804
Nebraska,41.321794947204275,-99.03901222387097,40797,442,0,40355.0,1279.1596280773126,1.286270096822427
Nevada,39.25599674470589,-117.5639935352941,75419,1528,0,73891.0,830.8086483638789,1.2714436586548763
New Hampshire,43.478972876,-71.57765670500001,7920,438,0,7482.0,340.2547539629565,2.5504484813921056
New Jersey,40.286440910952386,-74.62244971476191,199309,16064,0,183245.0,1989.3869411669245,7.9908938721850715
New Mexico,34.54935897878787,-105.88710740909092,27512,847,0,26665.0,1051.6240454551735,2.570814584613655
New York,42.5441513332258,-75.47418330774194,449038,33081,0,415957.0,1019.6703584807321,4.255723579339345
North Carolina,35.62420971000002,-79.50109873960002,192247,3235,0,189012.0,1780.9361218538065,1.9148766428890713
North Dakota,47.39350672792453,-100.2493934356604,17607,192,0,17415.0,1678.1420613175292,0.7225541380290432
Northern Mariana Islands,15.0979,145.6739,68,2,0,66.0,123.31350645582475,2.9411764705882355
Ohio,40.310669812954565,-82.83540800659091,143547,4612,0,138935.0,979.0851834487986,3.3684885644565266
Oklahoma,35.50191442597403,-97.2513995677922,75804,943,0,74861.0,1607.759976377195,1.4069193324587437
Oregon,44.49240067472221,-121.47691959722222,30342,521,0,29821.0,850.0646279969998,1.2359572808024395
Pennsylvania,40.81807835477611,-77.61531783850747,154236,7940,0,146296.0,744.38381703144,3.588080527767695
Puerto Rico,18.240118884615384,-66.40498556410255,40993,605,0,40388.0,959.8048681345709,1.360161870503597
Rhode Island,41.655142106,-71.464105098,23620,1088,0,22532.0,1180.0665381573326,8.07361234787771
South Carolina,33.957472131086966,-80.9833996921739,137240,3188,0,134052.0,2792.0931737803626,2.8250706875044442
South Dakota,44.27269492727272,-99.31063618348485,18444,200,0,18244.0,1617.141081051999,0.8400691017366768
Tennessee,35.88510221221052,-86.10872298863156,181439,2216,0,179223.0,2709.5738382875134,1.2692344445502182
Texas,31.660643442283458,-98.65306860334638,707940,15051,0,692889.0,1996.52064410729,2.963556874087948
Utah,40.014400114615384,-111.46087804615384,62852,440,0,62412.0,1710.0988273242028,0.8431449372770398
Vermont,44.159495798571434,-72.68438070571429,1710,58,0,1652.0,203.1334458755762,1.5923367108605009
Virgin Islands,18.3358,-64.8963,1257,19,0,1238.0,1171.831301040385,1.511535401750199
Virginia,37.56615032526316,-78.51371173503755,139546,2988,0,136558.0,1552.5389847999609,2.500897000111522
Washington,47.23378642,-120.71922041538463,82199,2037,0,80162.0,1135.25615389778,1.7117586347804399
West Virginia,38.81425370672727,-80.6174545132727,13889,311,0,13578.0,599.2404678796695,2.1671369102822378
Wisconsin,44.395143494861124,-89.79797998097222,97279,1238,0,96041.0,1172.4140453754853,1.0048877934930296
Wyoming,43.086885505217396,-107.15324220434782,4781,49,0,4731.0,801.660984838427,1.2499979839011501
